"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"LED0805";"LED0805";"LED1";"LED";"";"";"";"";
"19";"100n";"CC0805";"C0805";"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C20, C21, C22, C23, C24, C25, C26";"Capacitor";"";"";"";"";
"28";"10k";"RESISTORR0805";"R0805";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R22, R23, R24, R25, R26, R27, R28, R29, R30";"RESISTOR, European symbol";"";"";"";"";
"2";"10p";"CC0805";"C0805";"C17, C18";"Capacitor";"";"";"";"";
"4";"10u 6V3";"CC0805";"C0805";"C2, C3, C4, C19";"Capacitor";"";"";"";"";
"1";"1k";"RESISTORR0805";"R0805";"R21";"RESISTOR, European symbol";"";"";"";"";
"1";"330";"RESISTORR0805";"R0805";"R1";"RESISTOR, European symbol";"";"";"";"";
"1";"33u 16V";"C_POLARIZEDSMC_B";"SMC_B";"C1";"";"";"";"";"";
"2";"74HC4052SO";"74HC4052SO";"SO16";"IC1, IC2";"";"";"";"";"";
"1";"8MHz";"CRYSTAL_SHIELDED";"5X3.2MM";"XTAL1";"Shielded Crystal";"";"";"";"";
"4";"BSS308PE";"P-FET";"SOT23";"Q2, Q3, Q4, Q5";"";"";"";"";"";
"1";"I2C1";"22-23-2031";"22-23-2031";"X6";".100" (2.54mm) Center Header - 3 Pin";"MOLEX";"22-23-2031";"1462950";"30C0862";
"1";"I2C2";"22-23-2031";"22-23-2031";"X9";".100" (2.54mm) Center Header - 3 Pin";"MOLEX";"22-23-2031";"1462950";"30C0862";
"1";"ICSP";"22-23-2051";"22-23-2051";"X3";".100" (2.54mm) Center Header - 5 Pin";"MOLEX";"22-23-2051";"1462952";"38C9178";
"1";"Input";"22-23-20411MM";"22-23-2041";"X5";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";
"2";"LM5111-2M";"LM5111";"SOIC8";"IC3, IC7";"Dual 5A Compound Gate Driver";"";"";"";"";
"1";"LMC6482";"LMC6482";"SOIC8";"IC8";"CMOS Dual Rail-to-Rail Input and Output Operational Amplifier";"";"";"";"";
"1";"MCP1755";"MCP1755";"SOT-23-5";"IC9";"";"";"";"";"";
"1";"MCP4561";"MCP4561MSOP";"MSOP";"IC10";"Digital POT";"";"";"";"";
"1";"MCP6561R";"MCP6561R";"SOT-23-5";"IC6";"1.8V Low-Power Push-Pull Output Comparator";"";"";"";"";
"1";"Output";"22-23-20411MM";"22-23-2041";"X8";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";
"1";"PIC32MX2XX";"PIC32MX2XX";"SO28W";"IC5";"";"";"";"";"";
"1";"Power";"22-23-2021100MIL";"22-23-2021";"X1";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
"1";"SPI";"22-23-2061";"22-23-2061";"X2";".100" (2.54mm) Center Header - 6 Pin";"MOLEX";"22-23-2061";"1462922";"27C1933";
"1";"TCM829";"TCM829";"SOT-23-5";"IC4";"";"";"";"";"";
"1";"Transducers";"CON_8X3.5MM";"3.5MM_8X";"CON1";"8-pin header";"";"";"";"";
"1";"USB";"22-23-20411MM";"22-23-2041";"X7";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";
"1";"USB_BMULTICOMP";"USB_BMULTICOMP";"USB_B";"X4";"Type B USB connector";"";"";"";"";
